epoch,open,high,low,close,spread,momentum,variacion,score,rsi,ema,fuerza_cuerpo,mecha_superior,mecha_inferior,fuerza_mecha,bajistas
1750135620,17413.845,17413.845,17413.453,17413.453,0.392,26.26,-2.25108E-05,-4.88274E-05,62.27028052,17396.48447,0.392,0,0,0,1
1750135680,17413.434,17413.434,17412.38,17412.38,1.054,-1.073,-0.000060528,-5.24574E-05,62.39159876,17399.37456,1.054,0,0,0,1
1750135740,17412.323,17412.323,17411.436,17411.436,0.887,-0.944,-5.09409E-05,-0.000052111,62.572974,17401.56754,0.887,0,0,0,1
1750135800,17411.435,17424.211,17411.404,17423.179,12.807,11.743,0.000674499,9.48421E-05,72.0436019,17405.49689,11.744,1.032,0.031,1.032,0.8
1750135860,17423.153,17423.153,17422.136,17422.136,1.017,-1.043,-5.83706E-05,9.64298E-05,72.19003476,17408.52218,1.017,0,0,0,0.8
1750135920,17422.12,17422.12,17421.096,17421.096,1.024,-1.04,-5.87759E-05,8.91768E-05,72.10511337,17410.80832,1.024,0,0,0,0.8
1750135980,17421.058,17421.058,17420.148,17420.148,0.91,-0.948,-5.22356E-05,9.08352E-05,73.4740831,17412.50652,0.91,0,0,0,0.8
1750136040,17420.121,17420.121,17418.805,17418.805,1.316,-1.343,-7.55448E-05,8.59145E-05,73.10096755,17413.65169,1.316,0,0,0,0.8
1750136100,17418.784,17427.981,17418.639,17427.171,9.342,8.366,0.000481492,0.000047313,78.22294949,17416.10974,8.387,0.81,0.145,0.81,0.8
1750136160,17437.707,17437.707,17436.738,17436.738,0.969,9.567,-5.55692E-05,4.78732E-05,82.54895884,17419.86033,0.969,0,0,0,0.8
1750136220,17436.715,17436.715,17435.744,17435.744,0.971,-0.994,-5.56871E-05,0.000048491,84.13199771,17422.74826,0.971,0,0,0,0.8
1750136280,17435.741,17435.741,17434.506,17434.506,1.235,-1.238,-7.08315E-05,4.47718E-05,83.73401994,17424.88603,1.235,0,0,0,0.8
1750140240,17465.354,17465.354,17464.362,17464.362,0.992,-1.006,-5.67982E-05,0.000454199,76.50128719,17452.42613,0.992,0,0,0,1
1750145280,17675.964,17675.964,17675.024,17675.024,0.94,-0.961,-5.31796E-05,0.000188617,59.59965438,17663.47015,0.94,0,0,0,1
1750145340,17675.024,17675.024,17673.976,17673.976,1.048,-1.048,-5.92927E-05,0.000187915,59.67700072,17665.3803,1.048,0,0,0,1
1750145400,17673.969,17673.969,17672.67,17672.67,1.299,-1.306,-7.34979E-05,0.000184508,59.15835215,17666.7057,1.299,0,0,0,1
1750145460,17672.666,17672.666,17671.576,17671.576,1.09,-1.094,-6.16772E-05,0.000184893,59.39266956,17667.5912,1.09,0,0,0,1
1750145520,17671.547,17671.547,17670.602,17670.602,0.945,-0.974,-5.34758E-05,-6.02246E-05,59.76662912,17668.13861,0.945,0,0,0,1
1750145580,17670.568,17670.568,17669.5,17669.5,1.068,-1.102,-6.04395E-05,-6.16766E-05,59.66323559,17668.38613,1.068,0,0,0,1
1750145640,17669.464,17669.464,17668.466,17668.466,0.998,-1.034,-5.64816E-05,-6.11144E-05,59.61167286,17668.40084,0.998,0,0,0,1
1750145700,17668.464,17668.464,17667.478,17667.478,0.986,-0.988,-5.58056E-05,-5.75759E-05,59.75799931,17668.23305,0.986,0,0,0,1
1750145760,17667.464,17667.464,17666.334,17666.334,1.13,-1.144,-6.39594E-05,-5.80324E-05,59.52079618,17667.88776,1.13,0,0,0,1
1750145820,17666.322,17666.322,17665.168,17665.168,1.154,-1.166,-0.000065322,-6.04016E-05,59.67355884,17667.39325,1.154,0,0,0,1
1750145880,17665.166,17665.166,17664.183,17664.183,0.983,-0.985,-5.56462E-05,-0.000059443,59.68560715,17666.8097,0.983,0,0,0,1
1750145940,17664.17,17664.17,17663.062,17663.062,1.108,-1.121,-6.27258E-05,-6.06918E-05,59.51223721,17666.1283,1.108,0,0,0,1
1750146000,17663.044,17663.044,17662.074,17662.074,0.97,-0.988,-5.49169E-05,-6.05141E-05,59.79944515,17665.39114,0.97,0,0,0,1
1750146060,17662.068,17662.068,17660.832,17660.832,1.236,-1.242,-6.99805E-05,-6.17183E-05,0,17664.5622,1.236,0,0,0,1
