open,high,low,close,spread,momentum,ema,rsi
18311.709,18311.709,18310.693,18310.693,1.0159999999996217,-5.717643435321218e-05,18305.489467301588,77.58545619839198
18310.678,18310.678,18309.792,18309.792,0.885999999998603,-4.920622064918945e-05,18306.06313832804,76.2626735108993
18309.787,18309.787,18308.766,18308.766,1.0210000000006405,-5.603559013678261e-05,18306.4235198843,74.70081820947017
18308.741,18308.741,18307.511,18307.511,1.2300000000032014,-6.854640012332602e-05,18306.56851723306,72.73847920991547
18307.501,18307.501,18306.358,18306.358,1.143000000000029,-6.297961530643548e-05,18306.54044826865,70.89584254152939
18306.347,18306.347,18305.27,18305.27,1.077000000001135,-5.9432903038336704e-05,18306.371055166164,69.11657213670509
18305.266,18305.266,18304.33,18304.33,0.9359999999978754,-5.135133215727894e-05,18306.09891447734,67.53946057257389
18304.316,18304.316,18303.35,18303.35,0.9660000000003492,-5.3539244539546615e-05,18305.73239254703,65.8523846136594
18303.327,18303.327,18302.144,18302.144,1.1830000000009022,-6.588957759090519e-05,18305.253940207425,63.7422490954968
18302.137,18302.137,18301.013,18301.013,1.1239999999997965,-6.17960387592209e-05,18304.6884815131,61.744071495019405
18301.007,18301.007,18299.921,18299.921,1.0860000000029686,-5.96688281682134e-05,18304.05281731136,59.79504989369959
18299.896,18299.896,18298.895,18298.895,1.0010000000002035,-5.606581580308578e-05,18303.365108336508,57.94432567869377
18298.868,18298.868,18297.746,18297.746,1.1219999999993888,-6.279067670489358e-05,18302.61589389164,55.85921712107466
18297.735,18297.735,18296.577,18296.577,1.157999999999447,-6.38876504241992e-05,18301.810708039426,53.740379608465815
18296.556,18296.556,18295.722,18295.722,0.8339999999989232,-4.673005229338667e-05,18300.99888030083,52.18134985028647
18295.703,18295.703,18294.534,18294.534,1.169000000001688,-6.493321225597981e-05,18300.13689626072,50.01040373044312
18294.53,18294.53,18293.486,18293.486,1.04399999999805,-5.728486989609039e-05,18299.250110092624,48.10893577518982
18293.463,18293.463,18292.346,18292.346,1.1169999999983702,-6.231726418892691e-05,18298.329562080275,46.057502993249
18292.325,18292.325,18291.315,18291.315,1.0100000000020373,-5.636237145323353e-05,18297.39428713624,44.220971751702095
18291.301,18291.301,18290.187,18290.187,1.113999999997759,-6.166861157863579e-05,18296.433315518072,42.236604521335074
18290.171,18290.171,18289.051,18289.051,1.1199999999989814,-6.21098078440463e-05,18295.449006782328,40.27641317701271
18289.032,18289.032,18288.174,18288.174,0.8580000000001746,-4.7952187349764586e-05,18294.479005878016,38.78009389782231
18288.147,18288.147,18286.968,18286.968,1.179000000000087,-6.594425446726504e-05,18293.47753842761,36.75775091489717
18286.954,18286.954,18285.832,18285.832,1.1220000000030268,-6.212074084688268e-05,18292.45813330393,34.91093687753131
18285.831,18302.178,18285.016,18301.962,17.162000000000262,0.0008821036964574,18293.725315530075,63.19058020817977
18301.96,18301.96,18300.98,18300.98,0.9799999999995634,-5.3655449617884265e-05,18294.69260679273,61.44040400775776
18300.948,18300.948,18299.809,18299.809,1.1389999999992142,-6.398564448450994e-05,18295.3747925537,59.33014890174936
18299.772,18299.772,18298.672,18298.672,1.1000000000021828,-6.213179602054808e-05,18295.81442021321,57.273213278581935
18298.646,18298.646,18297.511,18297.511,1.1350000000020373,-6.344722720863505e-05,18296.040630851447,55.16990031315845
18297.501,18297.501,18296.508,18296.508,0.992999999998574,-5.48161987713458e-05,18296.10294673792,53.34719144671893
18296.488,18296.488,18295.417,18295.417,1.070999999999913,-5.9628864699234896e-05,18296.011487172866,51.359520153937424
18295.394,18295.394,18294.204,18294.204,1.1899999999986903,-6.630075717872774e-05,18295.770488883147,49.16611126809053
18294.173,18294.173,18293.033,18293.033,1.139999999999418,-6.400934416184167e-05,18295.405490365392,47.07595591801572
18293.024,18293.024,18291.823,18291.823,1.201000000000931,-6.614540082006126e-05,18294.92782498334,44.94952643273528
18291.805,18291.805,18290.822,18290.822,0.9830000000001746,-5.4723905867692935e-05,18294.380381652227,43.21062187708659
18290.8,18290.8,18289.69,18289.69,1.110000000000582,-6.188896267222965e-05,18293.75499743193,41.26640677504516
18289.679,18289.679,18288.429,18288.429,1.25,-6.894594714279556e-05,18293.044864441006,39.1530503818991
