timestamp,ganancia,duracion,razon_cierre
2025-06-15 21:22:34,-0.01,94,⏱️ Forzado WS
2025-06-15 21:22:37,-0.07,37,🧨 Cierre externo WS
2025-06-15 21:24:32,-0.01,92,⏱️ Forzado WS
2025-06-15 21:24:39,-0.07,39,🧨 Cierre externo WS
2025-06-15 21:26:30,-0.23,90,⏱️ Forzado WS
2025-06-15 21:26:33,-0.08,33,🧨 Cierre externo WS
2025-06-15 21:28:34,-0.01,92,⏱️ Forzado WS
2025-06-15 21:28:35,-0.08,35,🧨 Cierre externo WS
2025-06-15 21:30:30,-0.03,90,⏱️ Forzado WS
2025-06-15 21:30:36,-0.08,35,🧨 Cierre externo WS
2025-06-15 21:32:35,-0.02,95,⏱️ Forzado WS
2025-06-15 21:32:43,-0.08,41,🧨 Cierre externo WS
2025-06-15 21:53:32,-0.01,90,⏱️ Forzado WS
2025-06-15 21:53:37,-0.08,35,🧨 Cierre externo WS
2025-06-15 21:55:35,-0.22,95,⏱️ Forzado WS
2025-06-15 21:55:38,-0.28,36,🧨 Cierre externo WS
2025-06-15 21:57:37,-0.02,93,⏱️ Forzado WS
2025-06-15 21:57:44,-0.08,27,🧨 Cierre externo WS
2025-06-15 21:59:34,-0.02,92,⏱️ Forzado WS
2025-06-15 21:59:36,-0.07,34,🧨 Cierre externo WS
2025-06-15 22:01:31,-0.02,90,⏱️ Forzado WS
2025-06-15 22:01:37,-0.07,36,🧨 Cierre externo WS
2025-06-15 22:03:31,-0.82,90,⏱️ Forzado WS
2025-06-15 22:03:33,-0.87,33,🧨 Cierre externo WS
2025-06-15 22:05:34,-0.02,94,⏱️ Forzado WS
2025-06-15 22:05:37,-0.07,37,🧨 Cierre externo WS
2025-06-15 22:07:33,-0.01,93,⏱️ Forzado WS
2025-06-15 22:07:37,-0.08,37,🧨 Cierre externo WS
2025-06-15 22:09:36,-0.01,95,⏱️ Forzado WS
2025-06-15 22:09:41,-0.07,41,🧨 Cierre externo WS
2025-06-15 22:15:31,-0.02,91,⏱️ Forzado WS
2025-06-15 22:15:33,-0.07,31,🧨 Cierre externo WS
2025-06-15 22:17:31,-0.01,91,⏱️ Forzado WS
2025-06-15 22:17:33,-0.07,31,🧨 Cierre externo WS
2025-06-15 22:19:36,-0.01,95,⏱️ Forzado WS
2025-06-15 22:19:44,-0.07,42,🧨 Cierre externo WS
2025-06-15 22:21:34,-0.01,93,⏱️ Forzado WS
2025-06-15 22:21:36,-0.07,34,🧨 Cierre externo WS
2025-06-15 22:23:37,-0.01,95,⏱️ Forzado WS
2025-06-15 22:23:38,-0.07,35,🧨 Cierre externo WS
2025-06-15 22:25:33,-0.01,92,⏱️ Forzado WS
2025-06-15 22:25:38,-0.07,37,🧨 Cierre externo WS
2025-06-15 22:27:33,-0.02,91,⏱️ Forzado WS
2025-06-15 22:27:36,-0.07,36,🧨 Cierre externo WS
2025-06-15 22:29:35,0,94,⏱️ Forzado WS
2025-06-15 22:29:40,-0.07,39,🧨 Cierre externo WS
2025-06-15 22:31:31,-0.01,91,⏱️ Forzado WS
2025-06-15 22:31:34,-0.07,34,🧨 Cierre externo WS
2025-06-15 22:33:35,-0.01,93,⏱️ Forzado WS
2025-06-15 22:33:37,-0.07,36,🧨 Cierre externo WS
2025-06-15 22:37:31,-0.02,90,⏱️ Forzado WS
2025-06-15 22:37:34,-0.08,33,🧨 Cierre externo WS
2025-06-15 22:39:34,-0.01,93,⏱️ Forzado WS
2025-06-15 22:39:40,-0.07,40,🧨 Cierre externo WS
2025-06-15 22:41:32,-0.02,92,⏱️ Forzado WS
2025-06-15 22:41:37,-0.08,35,🧨 Cierre externo WS
2025-06-15 22:43:36,-0.02,95,⏱️ Forzado WS
2025-06-15 22:43:43,-0.08,39,🧨 Cierre externo WS
2025-06-15 22:45:32,-0.01,91,⏱️ Forzado WS
2025-06-15 22:45:34,-0.07,33,🧨 Cierre externo WS
2025-06-15 22:47:35,0,94,⏱️ Forzado WS
2025-06-15 22:47:41,-0.07,40,🧨 Cierre externo WS
2025-06-15 23:09:33,-0.01,93,⏱️ Forzado WS
2025-06-15 23:11:33,-0.01,92,⏱️ Forzado WS
2025-06-15 23:13:30,-0.02,90,⏱️ Forzado WS
2025-06-15 23:15:31,-0.02,90,⏱️ Forzado WS
2025-06-15 23:17:34,-0.02,90,⏱️ Forzado WS
2025-06-15 23:19:34,-0.01,93,⏱️ Forzado WS
2025-06-15 23:21:36,0.0,94,⏱️ Forzado WS
2025-06-15 23:23:38,-0.02,94,⏱️ Forzado WS
2025-06-15 23:25:35,-0.01,93,⏱️ Forzado WS
2025-06-15 23:31:36,-0.02,93,⏱️ Forzado WS
2025-06-15 23:33:37,-0.01,95,⏱️ Forzado WS
2025-06-15 23:35:36,-0.01,94,⏱️ Forzado WS
2025-06-15 23:40:34,-0.01,93,⏱️ Forzado WS
2025-06-15 23:42:32,-0.01,90,⏱️ Forzado WS
2025-06-15 23:44:33,-0.02,93,⏱️ Forzado WS
2025-06-15 23:46:30,-0.02,90,⏱️ Forzado WS
2025-06-15 23:48:32,-0.01,91,⏱️ Forzado WS
2025-06-15 23:50:35,-0.01,95,⏱️ Forzado WS
2025-06-15 23:52:35,-0.02,93,⏱️ Forzado WS
2025-06-15 23:55:33,-0.02,91,⏱️ Forzado WS
2025-06-15 23:57:35,-0.01,94,⏱️ Forzado WS
2025-06-15 23:59:32,-0.02,92,⏱️ Forzado WS
2025-06-16 00:01:32,-0.01,90,⏱️ Forzado WS
2025-06-16 08:33:04,0,182,🛑 Timeout WebSocket
2025-06-16 08:35:37,-0.04,95,⏱️ Forzado WS
2025-06-16 08:37:37,-0.04,95,⏱️ Forzado WS
2025-06-16 08:39:37,-0.04,95,⏱️ Forzado WS
2025-06-16 08:41:37,-0.8,95,⏱️ Forzado WS
2025-06-16 08:43:36,-0.01,92,⏱️ Forzado WS
2025-06-16 08:45:34,-0.02,91,⏱️ Forzado WS
2025-06-16 08:47:33,0.01,90,⏱️ Forzado WS
2025-06-16 08:49:38,-1.34,93,⏱️ Forzado WS
2025-06-16 08:51:36,-0.03,94,⏱️ Forzado WS
